hardware_type,file_system,function,iteration,nb_runs,seek_distance,time
ssd,ext4,timeit_seeks_,4,1000000,50000,0.362944841385
ssd,ext4,timeit_seeks_,5,1000000,50000,0.345151901245
ssd,ext4,timeit_seeks_,6,1000000,50000,0.363098859787
ssd,ext4,timeit_seeks_,7,1000000,50000,0.345202207565
hdd,ext4,timeit_seeks_,0,1000000,50000,0.345004796982
hdd,ext4,timeit_seeks_,1,1000000,50000,0.375792980194
hdd,ext4,timeit_seeks_,2,1000000,50000,0.345020055771
hdd,ext4,timeit_seeks_,3,1000000,50000,0.365625858307
hdd,ext4,timeit_seeks_,4,1000000,50000,0.344847917557
hdd,ext4,timeit_seeks_,5,1000000,50000,0.346624135971
hdd,ext4,timeit_seeks_,6,1000000,50000,0.361951112747
hdd,ext4,timeit_seeks_,7,1000000,50000,0.345194816589
ram,tmpfs,timeit_seeks_,0,1000000,500000,0.362987041473
ram,tmpfs,timeit_seeks_,1,1000000,500000,0.345793008804
ram,tmpfs,timeit_seeks_,2,1000000,500000,0.347306013107
ram,tmpfs,timeit_seeks_,3,1000000,500000,0.358888149261
ram,tmpfs,timeit_seeks_,4,1000000,500000,0.342280864716
ram,tmpfs,timeit_seeks_,5,1000000,500000,0.362343072891
ram,tmpfs,timeit_seeks_,6,1000000,500000,0.342361927032
ram,tmpfs,timeit_seeks_,7,1000000,500000,0.344154834747
ssd,ext4,timeit_seeks_,0,1000000,500000,0.363799095154
ssd,ext4,timeit_seeks_,1,1000000,500000,0.345082044601
ssd,ext4,timeit_seeks_,2,1000000,500000,0.37028503418
ssd,ext4,timeit_seeks_,3,1000000,500000,0.34480714798
ssd,ext4,timeit_seeks_,4,1000000,500000,0.348408937454
ssd,ext4,timeit_seeks_,5,1000000,500000,0.360486030579
ssd,ext4,timeit_seeks_,6,1000000,500000,0.345113039017
ssd,ext4,timeit_seeks_,7,1000000,500000,0.369250059128
hdd,ext4,timeit_seeks_,0,1000000,500000,0.345314979553
hdd,ext4,timeit_seeks_,1,1000000,500000,0.349552869797
hdd,ext4,timeit_seeks_,2,1000000,500000,0.361017942429
hdd,ext4,timeit_seeks_,3,1000000,500000,0.344907999039
hdd,ext4,timeit_seeks_,4,1000000,500000,0.369579076767
hdd,ext4,timeit_seeks_,5,1000000,500000,0.345191001892
hdd,ext4,timeit_seeks_,6,1000000,500000,0.352301120758
hdd,ext4,timeit_seeks_,7,1000000,500000,0.360074996948
ram,tmpfs,rand_python_time,0,10000000,,8.94990921021e-07
ram,tmpfs,rand_python_time,1,10000000,,8.89574575424e-07
ram,tmpfs,rand_python_time,2,10000000,,8.94728660583e-07
ram,tmpfs,rand_python_time,3,10000000,,8.98537158966e-07
ram,tmpfs,rand_python_time,4,10000000,,8.9777443409e-07
ram,tmpfs,rand_python_time,5,10000000,,9.05719590187e-07
ram,tmpfs,rand_python_time,6,10000000,,9.02103757858e-07
ram,tmpfs,rand_python_time,7,10000000,,8.98673701286e-07
ssd,ext4,rand_python_time,0,10000000,,9.46286320686e-07
ssd,ext4,rand_python_time,1,10000000,,9.53273630142e-07
ssd,ext4,rand_python_time,2,10000000,,9.42272686958e-07
ssd,ext4,rand_python_time,3,10000000,,9.43087244034e-07
ssd,ext4,rand_python_time,4,10000000,,9.46030020714e-07
ssd,ext4,rand_python_time,5,10000000,,9.39293885231e-07
ssd,ext4,rand_python_time,6,10000000,,9.45727944374e-07
ssd,ext4,rand_python_time,7,10000000,,9.40998721123e-07
hdd,ext4,rand_python_time,0,10000000,,9.62170577049e-07
hdd,ext4,rand_python_time,1,10000000,,9.60512900352e-07
hdd,ext4,rand_python_time,2,10000000,,9.6609480381e-07
hdd,ext4,rand_python_time,3,10000000,,9.58265733719e-07
hdd,ext4,rand_python_time,4,10000000,,9.66133570671e-07
hdd,ext4,rand_python_time,5,10000000,,9.82780456543e-07
hdd,ext4,rand_python_time,6,10000000,,9.64743804932e-07
hdd,ext4,rand_python_time,7,10000000,,9.80291628838e-07
,,timeit_random_,0,10000000,,8.37140893936
,,timeit_random_,1,10000000,,8.36326098442
,,timeit_random_,2,10000000,,8.3341050148
,,timeit_random_,3,10000000,,8.35023903847
,,timeit_random_,4,10000000,,8.32046914101
,,timeit_random_,5,10000000,,8.35843491554
,,timeit_random_,6,10000000,,8.31505584717
,,timeit_random_,7,10000000,,8.32455897331
ram,tmpfs,timeit_seeks_random,0,10000000,,16.7631189823
ram,tmpfs,timeit_seeks_random,1,10000000,,16.8182580471
ram,tmpfs,timeit_seeks_random,2,10000000,,16.7579519749
ram,tmpfs,timeit_seeks_random,3,10000000,,16.6923789978
ram,tmpfs,timeit_seeks_random,4,10000000,,16.7402040958
ram,tmpfs,timeit_seeks_random,5,10000000,,16.7143549919
ram,tmpfs,timeit_seeks_random,6,10000000,,16.8324990273
ram,tmpfs,timeit_seeks_random,7,10000000,,16.8021090031
ssd,ext4,timeit_seeks_random,0,10000000,,17.4212388992
ssd,ext4,timeit_seeks_random,1,10000000,,17.4468860626
ssd,ext4,timeit_seeks_random,2,10000000,,17.3780510426
ssd,ext4,timeit_seeks_random,3,10000000,,17.4660351276
ssd,ext4,timeit_seeks_random,4,10000000,,17.4328689575
ssd,ext4,timeit_seeks_random,5,10000000,,17.3996579647
ssd,ext4,timeit_seeks_random,6,10000000,,17.2971329689
ssd,ext4,timeit_seeks_random,7,10000000,,17.2402968407
hdd,ext4,timeit_seeks_random,0,10000000,,17.5540399551
hdd,ext4,timeit_seeks_random,1,10000000,,17.7828581333
hdd,ext4,timeit_seeks_random,2,10000000,,17.9942929745
hdd,ext4,timeit_seeks_random,3,10000000,,17.7257940769
hdd,ext4,timeit_seeks_random,4,10000000,,17.8163437843
